artifact,task,relation,dose,n_seeds,did_n_finite,did_mean,did_std,did_boot_mean,did_boot_ci_low,did_boot_ci_high,did_boot_positive_rate,did_support,did_label_adjusted_n_finite,did_label_adjusted_mean,did_label_adjusted_std,did_label_adjusted_boot_mean,did_label_adjusted_boot_ci_low,did_label_adjusted_boot_ci_high,did_label_adjusted_boot_positive_rate,did_label_adjusted_support,linear_affected_coef_n_finite,linear_affected_coef_mean,linear_affected_coef_std,linear_affected_coef_boot_mean,linear_affected_coef_boot_ci_low,linear_affected_coef_boot_ci_high,linear_affected_coef_boot_positive_rate,linear_affected_coef_support,did_minus_decoy_n_finite,did_minus_decoy_mean,did_minus_decoy_std,did_minus_decoy_boot_mean,did_minus_decoy_boot_ci_low,did_minus_decoy_boot_ci_high,did_minus_decoy_boot_positive_rate,did_minus_decoy_support,did_label_adjusted_minus_decoy_n_finite,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_std,did_label_adjusted_minus_decoy_boot_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,did_label_adjusted_minus_decoy_boot_positive_rate,did_label_adjusted_minus_decoy_support,linear_affected_coef_minus_decoy_n_finite,linear_affected_coef_minus_decoy_mean,linear_affected_coef_minus_decoy_std,linear_affected_coef_minus_decoy_boot_mean,linear_affected_coef_minus_decoy_boot_ci_low,linear_affected_coef_minus_decoy_boot_ci_high,linear_affected_coef_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_support
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,exact,20,12,12,-0.0028245409005901237,0.048166394932291086,-0.0028249210554649796,-0.026745767516207313,0.024632433491584716,0.4025,unstable_or_null,12,0.007434142526631171,0.11707554419068807,0.008506926441223367,-0.052533010195424716,0.07616163098852105,0.5865,unstable_or_null,12,0.003855830518182349,0.08608251254981097,0.004041350701723915,-0.039073059073050975,0.053011031483762926,0.54625,unstable_or_null,12,-0.009480802495231372,0.03564469915278556,-0.009530018786093932,-0.029777122163562944,0.009173697512649213,0.1785,directional_negative,12,0.05004716434556783,0.11870614663950041,0.04991546086769394,-0.016798274022849214,0.11199117981188467,0.929,directional_positive,12,0.03360025501845559,0.08196311607662672,0.03408463341171274,-0.010171691306966069,0.07919222847547111,0.927,directional_positive
phase0_tf_confirm_top_len158_extra,bace,random,1,4,4,-0.023854269525009443,0.10300310272230316,-0.02439150624672196,-0.1279712901316883,0.039692424411013005,0.3075,unstable_or_null,4,-0.01995014446047057,0.09086491921761247,-0.01980418341984512,-0.1119579601485175,0.03757985160193697,0.32675,unstable_or_null,4,-0.005535337847555666,0.05354468156414937,-0.00532526833442473,-0.05974123712813877,0.030164084234872872,0.43425,unstable_or_null,4,0.01845701050813492,0.10077752008953354,0.018985320711710617,-0.07503785874798957,0.10889499635307183,0.6485,unstable_or_null,4,0.026295628766033075,0.09006296004877946,0.027742247891086105,-0.05502053019857856,0.11034500091355752,0.714,unstable_or_null,4,0.019765147086216385,0.06853386723652942,0.02041660509763969,-0.044235946863344255,0.08027602599684767,0.75275,unstable_or_null
phase0_tf_aff128_probe,tox21_mmp,parent,1,12,12,0.015103768548901622,0.038742549709084355,0.015145476240383903,-0.005271304128890219,0.035828799923931565,0.92775,directional_positive,12,0.02962061911226986,0.024082797546386727,0.029621829913777823,0.01623606261412294,0.04182689363389329,1.0,ci_positive,12,0.024641093733500676,0.017670732003280277,0.02465466882618079,0.015026452414256136,0.0340665360596495,1.0,ci_positive,12,0.013435127797650498,0.04652243544545751,0.013532334633972081,-0.011134549979832355,0.038687899771792,0.85575,directional_positive,12,0.023047286200149963,0.04562602178241417,0.023267978440729902,-0.00222497042728953,0.047589494802745484,0.9635,directional_positive,12,0.01882153865011198,0.03407371795879664,0.01891641149608727,0.000901288687521301,0.03704488553015937,0.98025,ci_positive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,12,0.00310303754695234,0.0051219880143407465,0.00311751206315109,0.00015626106229280426,0.0056348264382003604,0.98,ci_positive,12,0.005449728545793945,0.009012484208498033,0.0054492448863197665,0.00045233788140337463,0.010277356168535891,0.9845,ci_positive,12,0.002816873215384553,0.006070122720939603,0.0027982569111246356,-0.0006902959458145411,0.00598661508598016,0.94575,directional_positive,12,0.015104454769340818,0.048366126086459044,0.015179977844470678,-0.0007425314616436884,0.043831924647299486,0.93475,directional_positive,12,0.018245946598267004,0.06340801805203974,0.018465280527062332,-0.00337976367859275,0.056113151278407714,0.83125,directional_positive,12,0.007321710100458175,0.028849201035373043,0.007301720247128884,-0.003544803942152609,0.0249784222786462,0.77425,unstable_or_null
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,random,20,12,12,0.004761240615204692,0.04569285998193292,0.004717862695402864,-0.02062281050796785,0.028520985466146412,0.64475,unstable_or_null,12,-0.02689131523495006,0.07930728238800187,-0.027253228320585056,-0.06801931069582741,0.01449516916318431,0.1145,directional_negative,12,-0.021663125126889633,0.05010494893493472,-0.02178129230371825,-0.04964876129389022,0.005313945255426859,0.056,directional_negative,12,-0.001895020979436557,0.04390904377503358,-0.0018622061484317475,-0.02599852265168127,0.02226809626159227,0.4385,unstable_or_null,12,0.0157217065839866,0.09432994726745525,0.01598942502643393,-0.04173294627854727,0.057272523379958015,0.75625,unstable_or_null,12,0.008081299373383609,0.058709410244163984,0.008148999849723174,-0.02367163760212122,0.03858531158336781,0.69325,unstable_or_null
phase0_tf_aff128_probe,tox21_are,exact,20,4,4,0.014634251063015611,0.04507229657355359,0.014767789666495609,-0.02394835958808758,0.05321686171411881,0.718,unstable_or_null,4,0.01829981667941081,0.029463180608763927,0.01802869439144631,-0.011046262421986511,0.0342816074926261,0.946,directional_positive,4,0.014217071881660926,0.014782273615537701,0.0141610583592836,0.0018053764409585726,0.025420197361365617,0.97975,ci_positive,4,0.01012263242349339,0.055740201093330353,0.010185951893650461,-0.03407716158095322,0.054322426427939996,0.6205,unstable_or_null,4,0.0154569559528373,0.03661628823767325,0.015769452179925706,-0.014316009694036569,0.04522992159971117,0.8625,directional_positive,4,0.011832483173955242,0.01566215431132721,0.011830170742996101,-0.001169576568820021,0.024834542916730505,0.959,directional_positive
phase0_tf_aff128_probe,bbbp,random,20,4,4,0.02367798483005333,0.05418804711331953,0.02392044345825037,-0.020682480829571817,0.073042618564183,0.8375,directional_positive,4,0.005634519962852494,0.01782715369591908,0.005588412298217552,-0.006784008771333335,0.022062608623981277,0.7455,unstable_or_null,4,0.001896542375429227,0.011889259257401872,0.0019329169892625048,-0.006245184126663972,0.01300635015001839,0.6495,unstable_or_null,4,0.030377597900760046,0.06414261127721758,0.030427631571953835,-0.02115024987755245,0.09373388413874445,0.86575,directional_positive,4,0.014929703313660309,0.028489709856360755,0.015112092565196777,-0.00664865551001499,0.03890983399743653,0.88475,directional_positive,4,0.0134255665006227,0.020562496252139868,0.013465914684656258,-0.0011342651587208834,0.03210566947328953,0.96025,directional_positive
phase0_tf_confirm_top_len158_extra,bbbp,random,20,12,12,0.017357176495577387,0.06332206865339138,0.017684578581944246,-0.018849514428125286,0.049795681028001484,0.84175,directional_positive,12,0.00478973853604536,0.04082695027303266,0.0047455675027981035,-0.019340727803961656,0.02413700766337317,0.6775,unstable_or_null,12,0.01468568838758221,0.01809292958469065,0.014696638348640264,0.0053868488807588015,0.024799523694101804,0.99875,ci_positive,12,0.01840663344171065,0.05047108657679983,0.01869787428708601,-0.008298618908596666,0.04611440926116868,0.905,directional_positive,12,0.014381347832018007,0.036597950194978565,0.01454463557288996,-0.006277750333363309,0.03358269055291295,0.91525,directional_positive,12,0.014798107902782435,0.02784841910687476,0.014888334549428162,6.551752388831203e-05,0.02902003025201383,0.97575,ci_positive
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,12,12,0.03399435883822271,0.1040804864293728,0.0338299792615234,-0.01813335430075825,0.09373286414546302,0.88625,directional_positive,12,-0.006211700343923941,0.10906438794834222,-0.006321659281422466,-0.06471243266222862,0.05271190085530769,0.4165,unstable_or_null,12,0.025155708343052932,0.05340664031872432,0.02511138491198161,7.51278602842784e-05,0.058224026355676674,0.97525,ci_positive,12,0.030785501186765606,0.0822598689707727,0.03052859351352151,-0.014052736921719626,0.0769712450244903,0.9075,directional_positive,12,0.014210669222014876,0.08875026592110599,0.014288522152707149,-0.03210682918701133,0.06146852126231111,0.723,unstable_or_null,12,0.022114433890209746,0.04930101575319819,0.022152706825468448,-0.004978629662111373,0.04774003648882007,0.949,directional_positive
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,stereo,20,12,12,-0.010400101949096371,0.039951433816677755,-0.010106246440734717,-0.030048181398376495,0.013222743415956166,0.1805,directional_negative,12,-0.02987109978940732,0.12061725072242346,-0.030389572993621407,-0.09151012550361505,0.03443222033547443,0.1805,directional_negative,12,-0.036054697204587864,0.06683163088892759,-0.03636200779173606,-0.07394607583245619,-0.00025318791664828694,0.02375,directional_negative,12,-0.017056363543737626,0.03604250696108421,-0.017163889108772708,-0.03681782803784068,0.0019639492859187075,0.043,directional_negative,12,0.01274192202952934,0.09123249042734648,0.011912211070553156,-0.03751430868069041,0.06159841538887381,0.67825,unstable_or_null,12,-0.006310272704314619,0.06199168684395409,-0.006729716333836889,-0.04013128933059948,0.026967269063981628,0.34925,unstable_or_null
