artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,307,204,82,122,0.0008206983528486048,-0.001600847594806401,0.002421545947655006,0.5609756097560976,0.3524590163934426,-0.001260008620621365,-0.001841513019437868,-0.0018820399895448964,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,331,204,82,122,-0.1394526303813952,0.025283341219679262,-0.16473597160107445,0.2804878048780488,0.3770491803278688,-0.09537737394587975,-0.20851012427257945,-0.22927012132135471,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,353,204,82,122,0.005281987940756275,0.0006966588133182618,0.004585329127438013,0.6707317073170732,0.5081967213114754,0.003792735907991822,0.006643575423446005,0.007143447220217678,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,379,204,82,122,0.005174804024580036,0.00126093528309806,0.003913868741481976,0.573170731707317,0.639344262295082,-0.00031065560748406995,0.001964735218268015,0.0025346081568639644,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,401,204,82,122,0.016541145651078806,0.012023930972228284,0.004517214678850521,0.7682926829268293,0.8114754098360656,0.008363356470232036,0.00928774178551244,0.011074242116326585,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,421,204,82,122,0.00023842336064796234,-0.00364752405429961,0.0038859474149475722,0.4024390243902439,0.2540983606557377,0.007008114751150072,0.010708351580994655,0.011250681745322165,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,443,204,82,122,-0.00022740980110516786,-0.0020673070713633415,0.0018398972702581735,0.4268292682926829,0.08196721311475409,-0.0010875652597635945,-0.0021129924871429334,-0.002394192048543992,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,467,204,82,122,-0.00707841033070553,-0.0009699382773432578,-0.006108472053362272,0.4146341463414634,0.4016393442622951,0.007823934405624962,0.007640383442063964,0.0074236595179146166,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,491,204,82,122,-0.002372680368219936,-0.0041370601469620325,0.0017643797787420964,0.5975609756097561,0.7131147540983607,0.018917234651660536,0.022674252181702832,0.023178839168750062,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,509,204,82,122,0.0010313136593961205,0.001045160865808104,-1.3847206411983634e-05,0.5853658536585366,0.6557377049180327,0.0009525148339516766,0.006501048062332639,0.007679113926741787,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,541,204,82,122,-0.0008373432679147306,0.0006953428087175831,-0.0015326860766323137,0.5609756097560976,0.5819672131147541,0.002280122341909366,0.0004124407458937502,2.2113426386851428e-05,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,563,204,82,122,0.0034542576886895165,-0.0019915296207563857,0.005445787309445902,0.4878048780487805,0.22131147540983606,-0.005160452549655158,-0.0069225152907308,-0.007351380325063108,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,307,204,82,122,0.004299712889805067,-0.00233816969223687,0.006637882582041937,0.7317073170731707,0.5327868852459017,0.007645827927826943,0.006517359321277532,0.006389729459618739,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,331,204,82,122,0.006210974985506476,0.0028496975170784348,0.0033612774684280413,0.6463414634146342,0.7377049180327869,0.0007491212024407275,0.009097121913379755,0.010792180943909692,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,353,204,82,122,0.0032319381106190545,-0.0037396786978743197,0.006971616808493375,0.45121951219512196,0.23770491803278687,-0.0006373249385402159,-0.0020178639080790962,-0.0021394609566192913,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,379,204,82,122,-0.004842548290403881,-0.002215989422602729,-0.002626558867801152,0.35365853658536583,0.29508196721311475,0.0026412977744079483,-0.00043409723851827543,-0.0012297486544159885,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,401,204,82,122,0.011309574744323408,0.007339137255168356,0.003970437489155052,0.7439024390243902,0.7540983606557377,0.00745760931732601,0.007551667445008157,0.008777087398632071,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,421,204,82,122,0.009131841168443606,-0.0013015819484459555,0.010433423116889561,0.4024390243902439,0.3442622950819672,0.0005626479088146779,0.010036257492634421,0.011569672930157343,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,443,204,82,122,0.001355287414498453,-0.0024499960365842676,0.0038052834510827207,0.5121951219512195,0.13934426229508196,0.002041347935610901,0.002817559117246226,0.0029569991209567313,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,467,204,82,122,-0.0024039499552511515,0.007171798153917807,-0.009575748109168959,0.47560975609756095,0.6885245901639344,0.004197778038161092,0.009815407326136614,0.010913502793225695,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,491,204,82,122,0.004889192707018868,3.0840976072148524e-05,0.004858351730946719,0.6097560975609756,0.5655737704918032,0.004521235996250958,0.011729450199439124,0.013250371238072808,2
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,509,204,82,122,0.004142000771513796,0.00020601255361173422,0.003935988217902062,0.7439024390243902,0.7213114754098361,0.0029849740650198797,0.00212733520584488,0.0019698865601343917,2
