pair_id,query_id,target_id,query_smiles,target_smiles,query_inchi_formula,target_inchi_formula,query_heavy_atoms_from_formula,target_heavy_atoms_from_formula,selection_source,pred_exact,pred_parent,pred_stereo,pred_tautomer,pred_family
chembl_obvious_negative_0000,1288126,1287128,CCC/C(C)=N/NC(=S)SC.CCC/C(C)=N/NC(=S)SC.[Zn+2],COc1ccc(/C=C2\CNC/C(=C\c3ccc(OC)cc3)C2=O)cc1.Cl,2C7H14N2S2.Zn,C21H21NO3.ClH,12,26,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0001,3203361,1422720,COc1cccc(-c2cc(F)cc(-c3nn(-c4nc(C(=O)O)cs4)c(CC4CC4)c3Cc3ccc(S(N)(=O)=O)cc3)c2)c1,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](COC(=O)c1cc(O)c(O)c(O)c1)[C@@H](O)C(=O)O,C31H27FN4O5S2,C20H18O12,43,32,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0002,425720,166500,O=C(O/N=C/c1ccc(O)cc1)C1CCCCC1,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C)C(=O)OC,C14H17NO3,C46H69N11O7,18,64,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0003,2734771,2293101,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)nc2c1COC2,CCOc1cccc(-c2c[nH]nn2)c1,C30H33N5O4S,C10H11N3O,40,14,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0004,1227307,3101667,C[C@@H]1C=C(C(=O)NC2CC2)O[C@H](OCc2ccc(CO)cc2)C1,CN1CCC(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ncc(Cl)cn2)[C@@]3(O[C@H]2CCOC2)c2ccc(Cl)cc2)CC1,C18H23NO4,C31H33Cl2FN4O4,23,42,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0005,81755,70788,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(F)cccc1-2,CC(=O)NC(C(=O)N(C)C(C(=O)N/C=C\c1c(CC=C(C)C)[nH]c2ccccc12)C(C)C)C(C)C,C15H14FN3O3,C28H40N4O3,22,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0006,549349,125623,CCCCCOc1c(/C=N/N=C(N)N)ccc(/C=N/N=C(N)N)c1OCCCCC.Cl.Cl,Clc1ccc(C2=Cc3ccccc3C3=NCCN23)cc1Cl,C20H34N8O2.2ClH,C17H12Cl2N2,31,21,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0007,1007968,3210340,CN1C2c3ccccc3C3C4c5ccccc5C(C31)C(C2[N+](=O)[O-])N4C,COc1ccc(F)c(CN2CCc3cc(-c4c(C)nc(C)c([C@H](OC(C)(C)C)C(=O)O)c4N4CCC(C)(C)CC4)ccc3C2)c1,C21H21N3O2,C37H48FN3O4,26,45,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0008,2921210,14957,COc1ccc(-n2cncc2-c2cc(CCc3ccccc3)c(O)cc2O)cc1,CCCCCCCCCCCCCCCCCCOCC(CN)OCCCCCCCCCCCCCCCCCC,C24H22N2O3,C39H81NO2,29,42,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0009,607175,2316033,CCOP(=O)(OC[C@H]1OC(n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O)OCC(Cl)(Cl)Cl,CCCCC/C=C\C/C=C\CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,C13H19Cl3N3O8P,C62H114N16O13,28,91,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
chembl_obvious_negative_0010,956125,1965087,COC(=O)Cc1ccc(NC(S)=NCc2ccco2)cc1,CCCCCCCCCCOc1c(OC)ccc2cc3[n+](cc12)CCc1cc2c(cc1-3)OCO2.[Br-],C15H16N2O3S,C29H36NO4.BrH,21,35,ChEMBL36 Standard InChI formula/connectivity and registry IDs,False,False,False,False,False
