artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,307,204,82,122,0.00847784438874663,-0.01640631875298063,0.02488416314172726,0.47560975609756095,0.2540983606557377,0.004260885250822299,-0.0003274235659652585,-0.001346641015886857,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,331,204,82,122,-0.009541985646980552,-0.0005612675039494551,-0.008980718143031096,0.4634146341463415,0.5163934426229508,0.004517060448882337,-0.005302299717159,-0.007859097797257849,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,353,204,82,122,-0.012745602828700374,-0.003050517596182285,-0.009695085232518089,0.4268292682926829,0.5163934426229508,-0.0008582624133399996,-0.01372798060873042,-0.017714476772923947,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,379,204,82,122,0.02896038079407156,-0.003924200402908638,0.0328845811969802,0.6219512195121951,0.28688524590163933,-0.0014125226227012858,-9.534351874614199e-05,-0.00011712056352016897,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,401,204,82,122,0.012421937795673929,0.012683689426325383,-0.000261751630651454,0.47560975609756095,0.6229508196721312,0.002282661021564686,-0.0013584418457031555,-0.002584837467406854,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,421,204,82,122,-0.02887175345747937,-0.009518755783067368,-0.019352997674412002,0.3048780487804878,0.27049180327868855,-0.06400080878004165,-0.0014792699236023557,0.011888007726037209,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,443,204,82,122,0.042809220712359354,0.02310385640527381,0.019705364307085544,0.5609756097560976,0.8934426229508197,0.007364285212551724,0.0525651166583112,0.06702832680703057,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,467,204,82,122,0.08889470749148508,0.01883803112585036,0.07005667636563472,0.8170731707317073,0.6475409836065574,0.021985985718564804,-0.025993620300856862,-0.03632083485727261,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,491,204,82,122,0.004582780708626999,0.02271021841490855,-0.01812743770628155,0.5609756097560976,0.8934426229508197,-0.0035721445133637675,0.01492488249607731,0.01895214930428952,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,decoy_20x,decoy,20,509,204,82,122,0.011320242612827111,-0.006112781093745938,0.01743302370657305,0.5609756097560976,0.5327868852459017,0.0032620897707148697,0.018671800222052358,0.0222764603195622,2
