artifact,task,relation,dose,n_seeds,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,did_label_adjusted_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_mean,linear_affected_coef_minus_decoy_boot_ci_low,linear_affected_coef_minus_decoy_boot_ci_high,linear_affected_coef_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_support,label_adjusted_effect_ci,linear_adjusted_effect_ci,ci_positive
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,exact,20,12,0.0500471643455678,-0.0167982740228492,0.1119911798118846,0.929,0.0336002550184555,-0.010171691306966,0.0791922284754711,0.927,directional_positive,"0.0500 [-0.0168, 0.1120]","0.0336 [-0.0102, 0.0792]",False
phase0_tf_confirm_top_len158_extra,bace,random,1,4,0.026295628766033,-0.0550205301985785,0.1103450009135575,0.714,0.0197651470862163,-0.0442359468633442,0.0802760259968476,0.75275,unstable_or_null,"0.0263 [-0.0550, 0.1103]","0.0198 [-0.0442, 0.0803]",False
phase0_tf_aff128_probe,tox21_mmp,parent,1,12,0.0230472862001499,-0.0022249704272895,0.0475894948027454,0.9635,0.0188215386501119,0.0009012886875213,0.0370448855301593,0.98025,ci_positive,"0.0230 [-0.0022, 0.0476]","0.0188 [0.0009, 0.0370]",True
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,0.018245946598267,-0.0033797636785927,0.0561131512784077,0.83125,0.0073217101004581,-0.0035448039421526,0.0249784222786462,0.77425,unstable_or_null,"0.0182 [-0.0034, 0.0561]","0.0073 [-0.0035, 0.0250]",False
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,random,20,12,0.0157217065839866,-0.0417329462785472,0.057272523379958,0.75625,0.0080812993733836,-0.0236716376021212,0.0385853115833678,0.69325,unstable_or_null,"0.0157 [-0.0417, 0.0573]","0.0081 [-0.0237, 0.0386]",False
phase0_tf_aff128_probe,tox21_are,exact,20,4,0.0154569559528373,-0.0143160096940365,0.0452299215997111,0.8625,0.0118324831739552,-0.00116957656882,0.0248345429167305,0.959,directional_positive,"0.0155 [-0.0143, 0.0452]","0.0118 [-0.0012, 0.0248]",False
phase0_tf_aff128_probe,bbbp,random,20,4,0.0149297033136603,-0.0066486555100149,0.0389098339974365,0.88475,0.0134255665006227,-0.0011342651587208,0.0321056694732895,0.96025,directional_positive,"0.0149 [-0.0066, 0.0389]","0.0134 [-0.0011, 0.0321]",False
phase0_tf_confirm_top_len158_extra,bbbp,random,20,12,0.014381347832018,-0.0062777503333633,0.0335826905529129,0.91525,0.0147981079027824,6.551752388831203e-05,0.0290200302520138,0.97575,ci_positive,"0.0144 [-0.0063, 0.0336]","0.0148 [0.0001, 0.0290]",True
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,12,0.0142106692220148,-0.0321068291870113,0.0614685212623111,0.723,0.0221144338902097,-0.0049786296621113,0.04774003648882,0.949,directional_positive,"0.0142 [-0.0321, 0.0615]","0.0221 [-0.0050, 0.0477]",False
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,stereo,20,12,0.0127419220295293,-0.0375143086806904,0.0615984153888738,0.67825,-0.0063102727043146,-0.0401312893305994,0.0269672690639816,0.34925,unstable_or_null,"0.0127 [-0.0375, 0.0616]","-0.0063 [-0.0401, 0.0270]",False
phase0_tf_confirm_top_len158_extra,tox21_ahr,random,1,12,0.012453391399954,-0.0190156657624419,0.0479636414040414,0.7665,0.0088559707434047,-0.0116403085073163,0.0255580120377661,0.81425,directional_positive,"0.0125 [-0.0190, 0.0480]","0.0089 [-0.0116, 0.0256]",False
phase0_tf_confirm_top_len158_extra,hiv,exact,20,12,0.0117478906871741,-0.0204699846667553,0.0458659765861091,0.76125,0.0176412410447692,-0.0131852736039362,0.0500950349852061,0.86275,directional_positive,"0.0117 [-0.0205, 0.0459]","0.0176 [-0.0132, 0.0501]",False
phase0_tf_confirm_top_len158_extra,tox21_are,exact,20,12,0.009836609432501,-0.0223716169885434,0.040673894644024,0.73725,0.0072184035465107,-0.0155828257700555,0.0285911319795068,0.73675,unstable_or_null,"0.0098 [-0.0224, 0.0407]","0.0072 [-0.0156, 0.0286]",False
phase0_tf_confirm_top_len158_extra,tox21_ahr,exact,20,12,0.009147136971594,-0.0555389332901845,0.0666176654116358,0.63225,0.0113332082013813,-0.03440490982308,0.0515770591512295,0.7065,unstable_or_null,"0.0091 [-0.0555, 0.0666]","0.0113 [-0.0344, 0.0516]",False
phase0_tf_aff128_probe,hiv,exact,20,4,0.0081144613450009,-0.0376272493855221,0.0493398559104363,0.6315,-0.0100275488954077,-0.036573894466074,0.013888881270846,0.21525,unstable_or_null,"0.0081 [-0.0376, 0.0493]","-0.0100 [-0.0366, 0.0139]",False
phase0_tf_aff128_probe,tox21_ahr,exact,20,4,0.0070839154132592,-0.0094070159389977,0.0343539255622703,0.68675,0.0026580902191953,-0.0103448659834244,0.0193029594481345,0.58275,unstable_or_null,"0.0071 [-0.0094, 0.0344]","0.0027 [-0.0103, 0.0193]",False
