artifact,task,injection_relation,dose,repeat_seed,proposed_method,proposed_source_type,proposed_changed_only_recall,proposed_clean_background_hit_rate,proposed_net_changed_recall_over_decoy,proposed_background_decoy_adjusted,best_external_adjusted_method,best_external_adjusted_group,best_external_adjusted_source_type,best_external_adjusted_changed_only_recall,best_external_adjusted_clean_background_hit_rate,best_external_adjusted_score,proposed_gain_vs_best_external_adjusted,best_external_recall_method,best_external_recall_group,best_external_recall_score,proposed_gain_vs_best_external_recall
phase0_tf_confirm_top_len158_extra,bace,parent,1,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,1,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,1,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,1,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,1,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,5,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,5,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,5,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,5,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,5,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,20,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,20,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,20,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,20,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,parent,20,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,1,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,1,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,1,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,1,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,1,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,5,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,5,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,5,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,5,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,chemical_science_audit_bundle,recent_same_task,adapted_rerun,1.0,0.0,1.0,0.0,chemical_science_audit_bundle,recent_same_task,1.0,0.0
