method,method_group,source_type,literature_anchor,is_proposed,relation_typed,certificate_ready,repeat_seeds,cells_per_repeat,changed_cells_per_repeat,changed_only_recall_mean_std,clean_background_hit_rate_mean_std,decoy_false_positive_proxy_mean_std,net_changed_recall_over_decoy_mean_std,background_and_decoy_adjusted_mean_std,changed_only_recall_mean,clean_background_hit_rate_mean,background_and_decoy_adjusted_mean
chemtrace_relation_lattice,proposed,self_rerun,ChemTrace,True,True,True,5,81,78,1.0000 +/- 0.0000,0.0036 +/- 0.0032,0.0000 +/- 0.0000,1.0000 +/- 0.0000,0.9963 +/- 0.0033,1.0,0.003587962962962963,0.9962740384615385
lohi_high_similarity_split,recent_same_task,adapted_rerun,LoHi-style high-similarity split stress,False,False,False,5,81,78,0.9267 +/- 0.0000,0.0465 +/- 0.0155,0.0023 +/- 0.0000,0.9243 +/- 0.0000,0.8783 +/- 0.0155,0.9267155608619022,0.04652777777777778,0.8782780608619023
inchikey_connectivity_identity,direct_mechanism,self_rerun,standard InChIKey connectivity,False,False,False,5,81,78,0.8286 +/- 0.0000,0.0125 +/- 0.0099,0.0000 +/- 0.0000,0.8286 +/- 0.0000,0.8156 +/- 0.0103,0.8285600792019278,0.0125,0.8155793099711586
chemical_science_audit_bundle,recent_same_task,adapted_rerun,Chemical Science 2026 benchmark-audit style,False,False,False,5,81,78,0.9332 +/- 0.0000,0.1674 +/- 0.0343,0.0006 +/- 0.0000,0.9326 +/- 0.0000,0.7639 +/- 0.0342,0.9332448253500886,0.1673611111111111,0.7638938638116269
morgan_minhash,direct_mechanism,adapted_rerun,MinHash molecular fingerprinting,False,False,False,5,81,78,0.7387 +/- 0.0000,0.0076 +/- 0.0050,0.0000 +/- 0.0000,0.7387 +/- 0.0000,0.7308 +/- 0.0052,0.7387396461048579,0.0076388888888888895,0.7308069537971656
morgan_ecfp80,recent_same_task,self_rerun,cheminformatics nearest-neighbor baseline,False,False,False,5,81,78,0.7303 +/- 0.0000,0.0069 +/- 0.0044,0.0000 +/- 0.0000,0.7303 +/- 0.0000,0.7231 +/- 0.0046,0.7303144669479714,0.006944444444444445,0.723102928486433
tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,TDC/Polaris-style benchmark curation bundle,False,False,False,5,81,78,0.8627 +/- 0.0000,0.1653 +/- 0.0367,0.0006 +/- 0.0000,0.8621 +/- 0.0000,0.6956 +/- 0.0367,0.8627487563784098,0.1652777777777778,0.6955612563784099
datasail_similarity_cluster,recent_same_task,adapted_rerun,DataSAIL-style leakage-aware split control,False,False,False,5,81,78,0.8584 +/- 0.0000,0.1694 +/- 0.0403,0.0006 +/- 0.0000,0.8578 +/- 0.0000,0.6870 +/- 0.0409,0.8584411060341741,0.16944444444444443,0.6870468752649433
murcko_scaffold,recent_same_task,self_rerun,scaffold leakage baseline,False,False,False,5,81,78,0.7946 +/- 0.0000,0.1608 +/- 0.0397,0.0006 +/- 0.0000,0.7940 +/- 0.0000,0.6321 +/- 0.0400,0.7946389635895412,0.16076388888888887,0.6321389635895411
smiles_shingle_minhash,direct_mechanism,adapted_rerun,MinHash text fingerprinting,False,False,False,5,81,78,0.8964 +/- 0.0000,0.2597 +/- 0.0127,0.0156 +/- 0.0000,0.8802 +/- 0.0000,0.6162 +/- 0.0126,0.8963801718383262,0.25972222222222224,0.616211902607557
inchikey_full_identity,direct_mechanism,self_rerun,standard InChIKey identity,False,False,False,5,81,78,0.0973 +/- 0.0000,0.0038 +/- 0.0053,0.0000 +/- 0.0000,0.0973 +/- 0.0000,0.0934 +/- 0.0055,0.09734992400268395,0.0038194444444444448,0.0933835778488378
canonical_smiles_identity,classic,self_rerun,classic canonical decontamination,False,False,False,5,81,78,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0,0.0
raw_smiles_identity,classic,self_rerun,classic exact string matching,False,False,False,5,81,78,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0,0.0
