scenario,method,method_group,source_type,is_proposed,relation_typed,certificate_ready,repeat_seeds,cells_per_repeat,changed_only_recall_mean_std,clean_background_hit_rate_mean_std,background_and_decoy_adjusted_mean_std,background_and_decoy_adjusted_mean
all_semantic_changed,chemtrace_relation_lattice,proposed,self_rerun,True,True,True,5,81,1.0000 +/- 0.0000,0.0036 +/- 0.0032,0.9963 +/- 0.0033,0.9962740384615385
all_semantic_changed,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,81,0.9267 +/- 0.0000,0.0465 +/- 0.0155,0.8783 +/- 0.0155,0.8782780608619023
all_semantic_changed,inchikey_connectivity_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.8286 +/- 0.0000,0.0125 +/- 0.0099,0.8156 +/- 0.0103,0.8155793099711586
all_semantic_changed,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.9332 +/- 0.0000,0.1674 +/- 0.0343,0.7639 +/- 0.0342,0.7638938638116269
all_semantic_changed,morgan_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.7387 +/- 0.0000,0.0076 +/- 0.0050,0.7308 +/- 0.0052,0.7308069537971656
all_semantic_changed,morgan_ecfp80,recent_same_task,self_rerun,False,False,False,5,81,0.7303 +/- 0.0000,0.0069 +/- 0.0044,0.7231 +/- 0.0046,0.723102928486433
all_semantic_changed,tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.8627 +/- 0.0000,0.1653 +/- 0.0367,0.6956 +/- 0.0367,0.6955612563784099
all_semantic_changed,datasail_similarity_cluster,recent_same_task,adapted_rerun,False,False,False,5,81,0.8584 +/- 0.0000,0.1694 +/- 0.0403,0.6870 +/- 0.0409,0.6870468752649433
all_semantic_changed,murcko_scaffold,recent_same_task,self_rerun,False,False,False,5,81,0.7946 +/- 0.0000,0.1608 +/- 0.0397,0.6321 +/- 0.0400,0.6321389635895411
all_semantic_changed,smiles_shingle_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.8964 +/- 0.0000,0.2597 +/- 0.0127,0.6162 +/- 0.0126,0.616211902607557
all_semantic_changed,inchikey_full_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.0973 +/- 0.0000,0.0038 +/- 0.0053,0.0934 +/- 0.0055,0.0933835778488378
all_semantic_changed,canonical_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
all_semantic_changed,raw_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
cold_start_scaffold_absent,chemtrace_relation_lattice,proposed,self_rerun,True,True,True,5,81,1.0000 +/- 0.0000,0.0025 +/- 0.0027,0.9975 +/- 0.0026,0.9975393223271656
cold_start_scaffold_absent,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.9236 +/- 0.0061,0.0080 +/- 0.0078,0.9149 +/- 0.0131,0.9149081769312135
cold_start_scaffold_absent,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,81,0.9262 +/- 0.0023,0.0330 +/- 0.0194,0.8899 +/- 0.0199,0.8898810468668519
