artifact,task,injection_relation,dose,lattice_detector,lattice_recall,lattice_changed_only_recall,lattice_decoy_fp_proxy,lattice_net_changed_recall,best_exact_detector,best_exact_changed_only_recall,best_exact_decoy_fp_proxy,best_exact_net_changed_recall,best_similarity_detector,best_similarity_changed_only_recall,best_similarity_decoy_fp_proxy,best_similarity_net_changed_recall,lattice_gain_vs_exact_net_changed,lattice_gain_vs_similarity_net_changed
phase0_tf_confirm_top_len158_extra,bace,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.9523809523809523,0.0,0.9523809523809523,1.0,0.04761904761904767
phase0_tf_confirm_top_len158_extra,bace,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.9523809523809523,0.0,0.9523809523809523,1.0,0.04761904761904767
phase0_tf_confirm_top_len158_extra,bace,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.9523809523809523,0.0,0.9523809523809523,1.0,0.04761904761904767
phase0_tf_confirm_top_len158_extra,bace,random,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,random,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,random,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bace,stereo,1,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,5,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,20,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bace,tautomer,1,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.1,0.0,0.1,1.0,0.9
phase0_tf_confirm_top_len158_extra,bace,tautomer,5,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.1,0.0,0.1,1.0,0.9
phase0_tf_confirm_top_len158_extra,bace,tautomer,20,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.1,0.0,0.1,1.0,0.9
phase0_tf_confirm_top_len158_extra,bbbp,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,random,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,random,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,random,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,bbbp,stereo,1,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,5,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,20,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.7777777777777778,0.0,0.7777777777777778,1.0,0.2222222222222222
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.7777777777777778,0.0,0.7777777777777778,1.0,0.2222222222222222
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,20,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.7777777777777778,0.0,0.7777777777777778,1.0,0.2222222222222222
phase0_tf_confirm_top_len158_extra,clintox_fda,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_fda,random,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,random,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,random,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,1,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,5,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,20,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,1,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,5,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,20,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,clintox_tox,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_tox,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_tox,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.6097560975609756,0.0,0.6097560975609756,1.0,0.3902439024390244
phase0_tf_confirm_top_len158_extra,clintox_tox,random,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,random,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,random,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,clintox_tox,stereo,1,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_tox,stereo,5,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_tox,stereo,20,stereo,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_tox,tautomer,1,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,clintox_tox,tautomer,5,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,clintox_tox,tautomer,20,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,ecfp70,0.8947368421052632,0.0,0.8947368421052632,1.0,0.10526315789473684
phase0_tf_confirm_top_len158_extra,hiv,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,hiv,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,hiv,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,1.0,0.0,1.0,1.0,0.0
phase0_tf_confirm_top_len158_extra,hiv,random,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,random,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,random,20,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,stereo,1,stereo,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,stereo,5,stereo,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,stereo,20,stereo,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,hiv,tautomer,1,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.4,0.0,0.4,1.0,0.6
phase0_tf_confirm_top_len158_extra,hiv,tautomer,5,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.4,0.0,0.4,1.0,0.6
phase0_tf_confirm_top_len158_extra,hiv,tautomer,20,tautomer,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.4,0.0,0.4,1.0,0.6
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,1,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,5,canonical,1.0,,0.0,,canonical,,0.0,,scaffold,,0.0,,,
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,20,canonical,1.0,,0.0,,canonical,,0.0,,ecfp70,,0.0,,,
phase0_tf_confirm_top_len158_extra,sider_gastro,parent,1,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.8333333333333334,0.0,0.8333333333333334,1.0,0.16666666666666663
phase0_tf_confirm_top_len158_extra,sider_gastro,parent,5,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.8333333333333334,0.0,0.8333333333333334,1.0,0.16666666666666663
phase0_tf_confirm_top_len158_extra,sider_gastro,parent,20,parent,1.0,1.0,0.0,1.0,raw,0.0,0.0,0.0,scaffold,0.8333333333333334,0.015625,0.8177083333333334,1.0,0.18229166666666663
