artifact,task,detector,detector_family,n_queries,n_clean_scanned,clean_background_hit_rate,mean_clean_match_score,max_clean_match_score
phase0_tf_confirm_top_len158_extra,bace,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,ecfp70,ecfp_similarity,64,5000,0.0625,0.47408579259097716,0.8392857142857143
phase0_tf_confirm_top_len158_extra,bace,ecfp80,ecfp_similarity,64,5000,0.03125,0.47408579259097716,0.8392857142857143
phase0_tf_confirm_top_len158_extra,bace,ecfp90,ecfp_similarity,64,5000,0.0,0.47408579259097716,0.8392857142857143
phase0_tf_confirm_top_len158_extra,bace,parent,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,scaffold,scaffold,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,stereo,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,tautomer,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,ecfp70,ecfp_similarity,64,5000,0.046875,0.46649485676311087,1.0
phase0_tf_confirm_top_len158_extra,bbbp,ecfp80,ecfp_similarity,64,5000,0.015625,0.46649485676311087,1.0
phase0_tf_confirm_top_len158_extra,bbbp,ecfp90,ecfp_similarity,64,5000,0.015625,0.46649485676311087,1.0
phase0_tf_confirm_top_len158_extra,bbbp,parent,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,bbbp,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,scaffold,scaffold,64,5000,0.171875,0.46875,6.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,ecfp70,ecfp_similarity,64,5000,0.046875,0.45571739213234264,0.8823529411764706
phase0_tf_confirm_top_len158_extra,clintox_fda,ecfp80,ecfp_similarity,64,5000,0.046875,0.45571739213234264,0.8823529411764706
phase0_tf_confirm_top_len158_extra,clintox_fda,ecfp90,ecfp_similarity,64,5000,0.0,0.45571739213234264,0.8823529411764706
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,clintox_fda,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,scaffold,scaffold,64,5000,0.3125,0.84375,6.0
phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_tox,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,clintox_tox,ecfp70,ecfp_similarity,64,5000,0.046875,0.45571739213234264,0.8823529411764706
phase0_tf_confirm_top_len158_extra,clintox_tox,ecfp80,ecfp_similarity,64,5000,0.046875,0.45571739213234264,0.8823529411764706
