artifact,task,condition,injection_relation,dose,detector,detector_family,expected_lattice_detector,n_queries,n_clean_scanned,clean_background_hit_rate,injection_recall,incremental_hit_rate,mean_injection_match_score,changed_queries,changed_only_recall,decoy_false_positive_proxy,decoy_changed_false_positive_proxy,net_recall_over_decoy,net_changed_recall_over_decoy
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,canonical,exact_identity,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,ecfp70,ecfp_similarity,canonical,64,5000,0.0625,0.0,0.0,0.10844095040378432,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,ecfp80,ecfp_similarity,canonical,64,5000,0.03125,0.0,0.0,0.10844095040378432,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,ecfp90,ecfp_similarity,canonical,64,5000,0.0,0.0,0.0,0.10844095040378432,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,parent,semantic_lattice,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,raw,exact_identity,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,scaffold,scaffold,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,stereo,semantic_lattice,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bace,decoy_1x,decoy,1,tautomer,semantic_lattice,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,canonical,exact_identity,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,ecfp70,ecfp_similarity,canonical,64,5000,0.046875,0.0,0.0,0.10968207027785423,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,ecfp80,ecfp_similarity,canonical,64,5000,0.015625,0.0,0.0,0.10968207027785423,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,ecfp90,ecfp_similarity,canonical,64,5000,0.015625,0.0,0.0,0.10968207027785423,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,parent,semantic_lattice,canonical,64,5000,0.015625,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,raw,exact_identity,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,scaffold,scaffold,canonical,64,5000,0.171875,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,stereo,semantic_lattice,canonical,64,5000,0.015625,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,decoy_1x,decoy,1,tautomer,semantic_lattice,canonical,64,5000,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0
