injection_relation,dose,detector,detector_family,rows,mean_clean_background_hit_rate,mean_injection_recall,mean_changed_only_recall,mean_decoy_fp_proxy,mean_net_recall_over_decoy,mean_net_changed_recall_over_decoy
decoy,1,canonical,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,1,ecfp70,ecfp_similarity,9,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
decoy,1,ecfp80,ecfp_similarity,9,0.026041666666666668,0.0,0.0,0.0,0.0,0.0
decoy,1,ecfp90,ecfp_similarity,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,1,parent,semantic_lattice,9,0.015625,0.0,0.0,0.0,0.0,0.0
decoy,1,raw,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,1,scaffold,scaffold,9,0.2899305555555556,0.0,0.0,0.0,0.0,0.0
decoy,1,stereo,semantic_lattice,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,1,tautomer,semantic_lattice,9,0.003472222222222222,0.0,0.0,0.0,0.0,0.0
decoy,5,canonical,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,5,ecfp70,ecfp_similarity,9,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
decoy,5,ecfp80,ecfp_similarity,9,0.026041666666666668,0.0,0.0,0.0,0.0,0.0
decoy,5,ecfp90,ecfp_similarity,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,5,parent,semantic_lattice,9,0.015625,0.0,0.0,0.0,0.0,0.0
decoy,5,raw,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,5,scaffold,scaffold,9,0.2899305555555556,0.0,0.0,0.0,0.0,0.0
decoy,5,stereo,semantic_lattice,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,5,tautomer,semantic_lattice,9,0.003472222222222222,0.0,0.0,0.0,0.0,0.0
decoy,20,canonical,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,20,ecfp70,ecfp_similarity,9,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
decoy,20,ecfp80,ecfp_similarity,9,0.026041666666666668,0.0,0.0,0.0,0.0,0.0
decoy,20,ecfp90,ecfp_similarity,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,20,parent,semantic_lattice,9,0.015625,0.0,0.0,0.0,0.0,0.0
decoy,20,raw,exact_identity,9,0.0,0.0,0.0,0.0,0.0,0.0
decoy,20,scaffold,scaffold,9,0.2899305555555556,0.001736111111111111,0.001736111111111111,0.001736111111111111,0.0,0.0
decoy,20,stereo,semantic_lattice,9,0.005208333333333333,0.0,0.0,0.0,0.0,0.0
decoy,20,tautomer,semantic_lattice,9,0.003472222222222222,0.0,0.0,0.0,0.0,0.0
exact,1,canonical,exact_identity,9,0.0,1.0,,0.0,1.0,
exact,1,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,,0.0,1.0,
exact,1,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,,0.0,1.0,
exact,1,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,,0.0,1.0,
exact,1,parent,semantic_lattice,9,0.015625,1.0,,0.0,1.0,
exact,1,raw,exact_identity,9,0.0,0.4322916666666667,,0.0,0.4322916666666667,
exact,1,scaffold,scaffold,9,0.2899305555555556,1.0,,0.0,1.0,
exact,1,stereo,semantic_lattice,9,0.005208333333333333,1.0,,0.0,1.0,
exact,1,tautomer,semantic_lattice,9,0.003472222222222222,1.0,,0.0,1.0,
exact,5,canonical,exact_identity,9,0.0,1.0,,0.0,1.0,
exact,5,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,,0.0,1.0,
exact,5,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,,0.0,1.0,
exact,5,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,,0.0,1.0,
exact,5,parent,semantic_lattice,9,0.015625,1.0,,0.0,1.0,
exact,5,raw,exact_identity,9,0.0,0.4322916666666667,,0.0,0.4322916666666667,
exact,5,scaffold,scaffold,9,0.2899305555555556,1.0,,0.0,1.0,
exact,5,stereo,semantic_lattice,9,0.005208333333333333,1.0,,0.0,1.0,
exact,5,tautomer,semantic_lattice,9,0.003472222222222222,1.0,,0.0,1.0,
