source,relation_group,metric,cells,clusters,mean,ci_low,ci_high
changed_sample5k,semantic_all,best_exact_changed_recall,2,2,0.0,0.0,0.0
changed_sample5k,semantic_all,best_similarity_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,best_similarity_net_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,lattice_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,lattice_gain_vs_exact,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,lattice_gain_vs_similarity,2,2,0.0,0.0,0.0
changed_sample5k,semantic_all,lattice_loss_rate_vs_similarity,2,2,0.0,0.0,0.0
changed_sample5k,semantic_all,lattice_tie_rate_vs_similarity,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,lattice_win_rate_vs_exact,2,2,1.0,1.0,1.0
changed_sample5k,semantic_all,lattice_win_rate_vs_similarity,2,2,0.0,0.0,0.0
changed_sample5k,stereo,best_exact_changed_recall,2,2,0.0,0.0,0.0
changed_sample5k,stereo,best_similarity_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,stereo,best_similarity_net_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,stereo,lattice_changed_recall,2,2,1.0,1.0,1.0
changed_sample5k,stereo,lattice_gain_vs_exact,2,2,1.0,1.0,1.0
changed_sample5k,stereo,lattice_gain_vs_similarity,2,2,0.0,0.0,0.0
changed_sample5k,stereo,lattice_loss_rate_vs_similarity,2,2,0.0,0.0,0.0
changed_sample5k,stereo,lattice_tie_rate_vs_similarity,2,2,1.0,1.0,1.0
changed_sample5k,stereo,lattice_win_rate_vs_exact,2,2,1.0,1.0,1.0
changed_sample5k,stereo,lattice_win_rate_vs_similarity,2,2,0.0,0.0,0.0
confirm_top_sample5k,parent,best_exact_changed_recall,27,9,0.0,0.0,0.0
confirm_top_sample5k,parent,best_similarity_changed_recall,27,9,0.8894696089818042,0.7831978319783198,0.9841269841269842
confirm_top_sample5k,parent,best_similarity_net_changed_recall,27,9,0.8888909052781004,0.7830728158472061,0.9841269841269842
confirm_top_sample5k,parent,lattice_changed_recall,27,9,1.0,1.0,1.0
confirm_top_sample5k,parent,lattice_gain_vs_exact,27,9,1.0,1.0,1.0
confirm_top_sample5k,parent,lattice_gain_vs_similarity,27,9,0.11110909472189959,0.01587301587301587,0.21692718415279394
confirm_top_sample5k,parent,lattice_loss_rate_vs_similarity,27,9,0.0,0.0,0.0
confirm_top_sample5k,parent,lattice_tie_rate_vs_similarity,27,9,0.5555555555555556,0.2222222222222222,0.8888888888888888
confirm_top_sample5k,parent,lattice_win_rate_vs_exact,27,9,1.0,1.0,1.0
confirm_top_sample5k,parent,lattice_win_rate_vs_similarity,27,9,0.4444444444444444,0.1111111111111111,0.7777777777777778
confirm_top_sample5k,semantic_all,best_exact_changed_recall,78,9,0.0,0.0,0.0
