artifact,task,relation,dose,n_seeds,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,equivalence_status_eps_0.01,equivalence_status_eps_0.02
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,exact,20,12,0.0500471643455678,-0.0167982740228492,0.1119911798118846,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,bace,random,1,4,0.026295628766033,-0.0550205301985785,0.1103450009135575,inconclusive,inconclusive
phase0_tf_aff128_probe,tox21_mmp,parent,1,12,0.0230472862001499,-0.0022249704272895,0.0475894948027454,inconclusive,inconclusive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,0.018245946598267,-0.0033797636785927,0.0561131512784077,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,random,20,12,0.0157217065839866,-0.0417329462785472,0.057272523379958,inconclusive,inconclusive
phase0_tf_aff128_probe,tox21_are,exact,20,4,0.0154569559528373,-0.0143160096940365,0.0452299215997111,inconclusive,inconclusive
phase0_tf_aff128_probe,bbbp,random,20,4,0.0149297033136603,-0.0066486555100149,0.0389098339974365,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,bbbp,random,20,12,0.014381347832018,-0.0062777503333633,0.0335826905529129,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,12,0.0142106692220148,-0.0321068291870113,0.0614685212623111,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,stereo,20,12,0.0127419220295293,-0.0375143086806904,0.0615984153888738,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_ahr,random,1,12,0.012453391399954,-0.0190156657624419,0.0479636414040414,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,hiv,exact,20,12,0.0117478906871741,-0.0204699846667553,0.0458659765861091,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_are,exact,20,12,0.009836609432501,-0.0223716169885434,0.040673894644024,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_ahr,exact,20,12,0.009147136971594,-0.0555389332901845,0.0666176654116358,inconclusive,inconclusive
phase0_tf_aff128_probe,hiv,exact,20,4,0.0081144613450009,-0.0376272493855221,0.0493398559104363,inconclusive,inconclusive
phase0_tf_aff128_probe,tox21_ahr,exact,20,4,0.0070839154132592,-0.0094070159389977,0.0343539255622703,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,24,0.0060926903134924,-0.0203573662451024,0.0339195724670573,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,24,0.0057069082191683,-0.0180072409621487,0.0292262577592448,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,1,12,0.0045274597748576,-0.0096789584944268,0.0184356329552058,inconclusive,practical_equivalence
phase0_tf_mmp_aff128_isolated,tox21_mmp,parent,1,12,0.0042016969884219,-0.0149564218396535,0.023748246050121,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,0.0037543197330174,-0.0265102462974619,0.0361271498657074,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,stereo,20,12,0.0035343630376303,-0.0287560409493269,0.0361429930009825,inconclusive,inconclusive
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,exact,20,12,0.0030572971157819,-0.0210220764481897,0.0246273290011031,inconclusive,inconclusive
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,0.0028235565687557,-0.0559694508802078,0.0610039636776238,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,clintox_tox,exact,1,4,0.0021189521902646,-0.0105271171403182,0.0145169998222327,inconclusive,practical_equivalence
phase0_tf_confirm_top_len158_extra,hiv,random,20,4,0.0013814228739406,-0.0243349474887153,0.0303777254922156,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_mmp,exact,1,12,0.0003900039375287,-0.0289515852674662,0.0272428185621346,inconclusive,inconclusive
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,stereo,20,12,0.0001622873764525,-0.0206154588108801,0.0217167040979645,inconclusive,inconclusive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.001417049304394,-0.0075856033450146,0.0042015817288597,practical_equivalence,practical_equivalence
phase0_tf_mmp_aff128_isolated,tox21_mmp,exact,1,12,-0.0024709288570948,-0.0232714144139584,0.0196479322581678,inconclusive,inconclusive
phase0_tf_aff128_probe,tox21_mmp,exact,1,12,-0.0029149147720902,-0.0250879892903027,0.017328041895949,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,exact,20,12,-0.0039075228776575,-0.0264378935886358,0.0155315294481203,inconclusive,inconclusive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,-0.0040938249320907,-0.0067620319700183,-0.0007578295237669,practical_equivalence,practical_equivalence
