pair_id,method,score,binary_label,gold_relation,hard_negative_type
controlled_parent_000000,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000001,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000002,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000003,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000004,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000005,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000006,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000007,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000008,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000009,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000010,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000011,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000012,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000013,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000014,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000015,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000016,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000017,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000018,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000019,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000020,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000021,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000022,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000023,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000024,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000025,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000026,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000027,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000028,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000029,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000030,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000031,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000032,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000033,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000034,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000035,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000036,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000037,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000038,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000039,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000040,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000041,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000042,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000043,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000044,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000045,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000046,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000047,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000048,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000049,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000050,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000051,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000052,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000053,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000054,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000055,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000056,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000057,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000058,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000059,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000060,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000061,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000062,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000063,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000064,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000065,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000066,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000067,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000068,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000069,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000070,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000071,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000072,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000073,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000074,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000075,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000076,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000077,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000078,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000079,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000080,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000081,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000082,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000083,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000084,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000085,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000086,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000087,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000088,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000089,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000090,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000091,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000092,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000093,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000094,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000095,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
controlled_parent_000096,raw_smiles_identity,0.0,1,parent,positive_controlled_relation
