method,n_pairs,n_positive,n_negative,auroc,auprc,threshold_at_recall_ge_0_95,recall_at_threshold,fpr_at_95_tpr,precision_at_95_recall,tp_default,fp_default,fn_default,tn_default,recall_default,precision_default,fpr_default,fpr_default_wilson95_low,fpr_default_wilson95_high,fpr_default_one_sided95_upper,ppv_at_prevalence_0.001,ppv_empirical_default_at_prevalence_0.001,ppv_default_fpr_upper95_at_prevalence_0.001,ppv_at_prevalence_0.01,ppv_empirical_default_at_prevalence_0.01,ppv_default_fpr_upper95_at_prevalence_0.01,ppv_at_prevalence_0.05,ppv_empirical_default_at_prevalence_0.05,ppv_default_fpr_upper95_at_prevalence_0.05,ppv_at_prevalence_0.1,ppv_empirical_default_at_prevalence_0.1,ppv_default_fpr_upper95_at_prevalence_0.1,method_group,source_type,operational_definition
chemtrace_typed_certificate,4380,432,3948,1.0,1.0,1.0,1.0,0.0,1.0,432,0,0,3948,1.0,1.0,0.0,5.421010862427522e-20,0.0009720680499770078,0.0007585096210724895,1.0,1.0,0.5689087570391442,1.0,1.0,0.9301525628679437,1.0,1.0,0.985793063068248,1.0,1.0,0.993219699717331,proposed,self_rerun,exact/parent/stereo/tautomer typed certificate
inchikey_connectivity_identity,4380,432,3948,0.9552762298772937,0.8862518970814649,0.0,1.0,1.0,0.09863013698630137,395,15,37,3933,0.9143518518518519,0.9634146341463414,0.003799392097264438,0.0023038834919518135,0.006259582217219898,0.006259582217219898,0.001,0.19413219004653315,0.12756604021691656,0.01,0.7085298367091024,0.5960376513052411,0.05,0.9268266590593017,0.884898951277401,0.1,0.9639505989689575,0.9419625722922846,direct_mechanism,self_rerun,standard InChIKey first-block equality
stereo_stripped_identity,4380,432,3948,0.7777777777777778,0.648967927495646,0.0,1.0,1.0,0.09863013698630137,240,0,192,3948,0.5555555555555556,1.0,0.0,5.421010862427522e-20,0.0009720680499770078,0.0007585096210724895,0.001,1.0,0.42302043346940993,0.01,1.0,0.8809281064418945,0.05,1.0,0.9747148926630456,0.1,1.0,0.9878613027013761,direct_mechanism,self_rerun,stereochemistry-stripped equality
parent_key_identity,4380,432,3948,0.6759259259259259,0.4743675069893386,0.0,1.0,1.0,0.09863013698630137,152,0,280,3948,0.35185185185185186,1.0,0.0,5.421010862427522e-20,0.0009720680499770078,0.0007585096210724895,0.001,1.0,0.31709707299662837,0.01,1.0,0.8241165142076169,0.05,1.0,0.9606521495128875,0.1,1.0,0.9809673906819862,direct_mechanism,self_rerun,largest-fragment/uncharged parent equality
morgan_tanimoto,4380,432,3948,0.8069691873991519,0.42692600867273683,0.5652173913043478,0.9537037037037037,0.5683890577507599,0.15512048192771086,240,150,192,3798,0.5555555555555556,0.6153846153846154,0.037993920972644375,0.0324654683485433,0.04442057629338074,0.04442057629338074,0.0016767698229527609,0.014425711968079277,0.012364442390909128,0.016666084687336935,0.12869157050655194,0.1121611048580954,0.08114489321401976,0.434897554527429,0.39695398010660254,0.15713815377624032,0.6190028222013171,0.5815260786204246,similarity,self_rerun,continuous Morgan ECFP Tanimoto score
tautomer_identity,4380,432,3948,0.6446759259259259,0.4178735027550741,0.0,1.0,1.0,0.09863013698630137,125,0,307,3948,0.28935185185185186,1.0,0.0,5.421010862427522e-20,0.0009720680499770078,0.0007585096210724895,0.001,1.0,0.2763356250459276,0.01,1.0,0.7939535572587054,0.05,1.0,0.9525562447221427,0.1,1.0,0.9769511020938121,direct_mechanism,self_rerun,canonical tautomer equality
morgan_ecfp90,4380,432,3948,0.7065426939097151,0.3341804514814432,0.0,1.0,1.0,0.09863013698630137,251,663,181,3285,0.5810185185185185,0.27461706783369805,0.16793313069908813,0.15659689948607167,0.17991494510031128,0.17991494510031128,0.001,0.0034513310249787363,0.00322222299563493,0.01,0.03376758477062667,0.03158980128214462,0.05,0.1540448933070433,0.14527633117416083,0.1,0.277678208150213,0.26406895573809286,similarity,self_rerun,Morgan ECFP Tanimoto >= 0.90
morgan_ecfp80,4380,432,3948,0.6544839862659012,0.31106491786465545,0.0,1.0,1.0,0.09863013698630137,301,1531,131,2417,0.6967592592592593,0.16430131004366813,0.38779128672745694,0.37270859372928,0.40309212873583655,0.40309212873583655,0.001,0.0017953074001403882,0.0017272776245450465,0.01,0.017825356542231115,0.0171603408228377,0.05,0.08639517445405952,0.08338919872503853,0.1,0.16641487683023765,0.16111573910206617,similarity,self_rerun,Morgan ECFP Tanimoto >= 0.80
lohi_high_similarity_split,4380,432,3948,0.6899836766858043,0.26925195913704786,0.0,1.0,1.0,0.09863013698630137,404,2192,28,1756,0.9351851851851852,0.15562403697996918,0.5552178318135765,0.539670414058686,0.5706578985882772,0.5706578985882772,0.001,0.0016832053449228606,0.0016377381041600433,0.01,0.016729085873691853,0.016283824148439163,0.05,0.08143145265046157,0.07940313946844355,0.1,0.15764703649759704,0.15403867816058153,split_control,adapted_rerun,LoHi-style ECFP >= 0.60
inchikey_full_identity,4380,432,3948,0.5324074074074074,0.20973918648719103,0.0,1.0,1.0,0.09863013698630137,28,0,404,3948,0.06481481481481481,1.0,0.0,5.421010862427522e-20,0.0009720680499770078,0.0007585096210724895,0.001,1.0,0.0787958906941604,0.01,1.0,0.463269821969824,0.05,1.0,0.8180951672207484,0.1,1.0,0.9047117106055559,direct_mechanism,self_rerun,standard InChIKey full equality
