method,hard_negative_type,n_negative,fp_default,mean_score,false_positive_rate_at_default_binary,fpr_default_wilson95_low,fpr_default_wilson95_high,fpr_default_one_sided95_upper,share_score_ge_0_80,share_score_ge_0_90
canonical_smiles_identity,activity_cliff_same_task_opposite_label,435,0,0.0,0.0,0.0,0.008753636976363494,0.0068630816017958285,0.0,0.0
canonical_smiles_identity,ecfp_tanimoto_ge_0_80,600,0,0.0,0.0,0.0,0.006361701013700711,0.004980443380361299,0.0,0.0
canonical_smiles_identity,ecfp_tanimoto_ge_0_90,513,0,0.0,0.0,0.0,0.007432567096028627,0.005822616540002379,0.0,0.0
canonical_smiles_identity,nearest_neighbor_same_benchmark_or_clean,600,0,0.0,0.0,0.0,0.006361701013700711,0.004980443380361299,0.0,0.0
canonical_smiles_identity,same_formula_constitutional_isomer,600,0,0.0,0.0,0.0,0.006361701013700711,0.004980443380361299,0.0,0.0
canonical_smiles_identity,same_murcko_scaffold,600,0,0.0,0.0,0.0,0.006361701013700711,0.004980443380361299,0.0,0.0
canonical_smiles_identity,same_scaffold_mw_logp_matched,600,0,0.0,0.0,0.0,0.006361701013700711,0.004980443380361299,0.0,0.0
chemical_science_audit_bundle,activity_cliff_same_task_opposite_label,435,332,0.7632183908045977,0.7632183908045977,0.7210741933748186,0.8007543517571649,0.8007543517571649,0.7632183908045977,0.7632183908045977
chemical_science_audit_bundle,ecfp_tanimoto_ge_0_80,600,600,1.0,1.0,0.9936382989862994,1.0,1.0,1.0,1.0
chemical_science_audit_bundle,ecfp_tanimoto_ge_0_90,513,513,1.0,1.0,0.9925674329039715,1.0,1.0,1.0,1.0
chemical_science_audit_bundle,nearest_neighbor_same_benchmark_or_clean,600,394,0.6566666666666666,0.6566666666666666,0.6177849875650621,0.6935550127839782,0.6935550127839782,0.6566666666666666,0.6566666666666666
chemical_science_audit_bundle,same_formula_constitutional_isomer,600,70,0.11666666666666667,0.11666666666666667,0.0933845944690549,0.14482604297478233,0.14482604297478233,0.11666666666666667,0.11666666666666667
chemical_science_audit_bundle,same_murcko_scaffold,600,600,1.0,1.0,0.9936382989862994,1.0,1.0,1.0,1.0
chemical_science_audit_bundle,same_scaffold_mw_logp_matched,600,600,1.0,1.0,0.9936382989862994,1.0,1.0,1.0,1.0
