pair_id,gold_relation,n_shared_assays,activity_label_agreement,median_abs_pchembl_diff
chembl_exact_self_000592,exact,0,,
chembl_exact_self_000832,exact,80,1.0,0.0
chembl_exact_self_000791,exact,1,1.0,0.0
chembl_exact_self_000476,exact,3,1.0,0.0
chembl_exact_self_000460,exact,18,1.0,0.0
chembl_exact_self_000540,exact,3,1.0,0.0
chembl_exact_self_000769,exact,0,,
chembl_exact_self_000376,exact,5,1.0,0.0
chembl_exact_self_000534,exact,0,,
chembl_exact_self_000352,exact,4,1.0,0.0
chembl_exact_self_000504,exact,39,0.9487179487179487,0.0
chembl_exact_self_000378,exact,37,1.0,0.0
chembl_exact_self_000371,exact,2,1.0,0.0
chembl_exact_self_000535,exact,0,,
chembl_exact_self_000563,exact,2,1.0,0.0
chembl_exact_self_000358,exact,15,1.0,0.0
chembl_exact_self_000732,exact,0,,
chembl_exact_self_000936,exact,8,1.0,0.0
chembl_exact_self_000487,exact,80,1.0,0.0
chembl_exact_self_000993,exact,0,,
chembl_exact_self_000760,exact,38,1.0,0.0
chembl_exact_self_000874,exact,3,1.0,0.0
chembl_exact_self_000873,exact,1,1.0,0.0
chembl_exact_self_000473,exact,2,1.0,0.0
chembl_exact_self_000934,exact,0,,
chembl_exact_self_000598,exact,5,1.0,0.0
chembl_exact_self_000335,exact,4,1.0,0.0
chembl_exact_self_000716,exact,0,,
chembl_exact_self_000321,exact,4,1.0,0.0
chembl_exact_self_000784,exact,12,1.0,0.0
chembl_exact_self_000946,exact,0,,
chembl_exact_self_000761,exact,0,,
chembl_exact_self_000286,exact,7,1.0,0.0
chembl_exact_self_000653,exact,3,1.0,0.0
chembl_exact_self_000153,exact,0,,
chembl_exact_self_000083,exact,1,1.0,0.0
chembl_exact_self_000404,exact,3,1.0,0.0
chembl_exact_self_000103,exact,0,,
chembl_exact_self_000977,exact,0,,
chembl_exact_self_000968,exact,80,1.0,0.0
chembl_exact_self_000258,exact,3,1.0,0.0
chembl_exact_self_000657,exact,0,,
chembl_exact_self_000210,exact,2,1.0,0.0
chembl_exact_self_000630,exact,1,1.0,0.0
chembl_exact_self_000257,exact,3,1.0,0.0
chembl_exact_self_000532,exact,0,,
chembl_exact_self_000695,exact,0,,
chembl_exact_self_000883,exact,0,,
chembl_exact_self_000415,exact,2,1.0,0.0
chembl_exact_self_000271,exact,3,1.0,0.0
chembl_exact_self_000848,exact,0,,
chembl_exact_self_000614,exact,1,1.0,0.0
chembl_exact_self_000280,exact,0,,
chembl_exact_self_000974,exact,4,1.0,0.0
chembl_exact_self_000457,exact,0,,
chembl_exact_self_000932,exact,1,1.0,0.0
chembl_exact_self_000050,exact,2,1.0,0.0
chembl_exact_self_000139,exact,1,1.0,0.0
chembl_exact_self_000449,exact,2,1.0,0.0
chembl_exact_self_000992,exact,0,,
chembl_exact_self_000431,exact,1,1.0,0.0
chembl_exact_self_000275,exact,2,1.0,0.0
chembl_exact_self_000564,exact,0,,
chembl_exact_self_000107,exact,0,,
chembl_exact_self_000704,exact,2,1.0,0.0
chembl_exact_self_000976,exact,2,1.0,0.0
chembl_exact_self_000181,exact,3,1.0,0.0
