task,relation,dose,changed_queries,superparent_changed_recall
bace,parent,1,42,1.0
bace,parent,5,42,1.0
bace,parent,20,42,1.0
bace,stereo,1,6,1.0
bace,stereo,5,6,1.0
bace,stereo,20,6,1.0
bace,tautomer,1,10,1.0
bace,tautomer,5,10,1.0
bace,tautomer,20,10,1.0
bbbp,parent,1,5,1.0
bbbp,parent,5,5,1.0
bbbp,parent,20,5,1.0
bbbp,stereo,1,31,1.0
bbbp,stereo,5,31,1.0
bbbp,stereo,20,31,1.0
bbbp,tautomer,1,18,1.0
bbbp,tautomer,5,18,1.0
bbbp,tautomer,20,18,1.0
clintox_fda,parent,1,41,1.0
clintox_fda,parent,5,41,1.0
clintox_fda,parent,20,41,1.0
clintox_fda,stereo,1,34,1.0
clintox_fda,stereo,5,34,1.0
clintox_fda,stereo,20,34,1.0
clintox_fda,tautomer,1,19,1.0
clintox_fda,tautomer,5,19,1.0
clintox_fda,tautomer,20,19,1.0
clintox_tox,parent,1,41,1.0
clintox_tox,parent,5,41,1.0
clintox_tox,parent,20,41,1.0
clintox_tox,stereo,1,34,1.0
clintox_tox,stereo,5,34,1.0
clintox_tox,stereo,20,34,1.0
clintox_tox,tautomer,1,19,1.0
clintox_tox,tautomer,5,19,1.0
clintox_tox,tautomer,20,19,1.0
hiv,parent,1,8,1.0
hiv,parent,5,8,1.0
hiv,parent,20,8,1.0
hiv,tautomer,1,5,1.0
hiv,tautomer,5,5,1.0
hiv,tautomer,20,5,1.0
sider_gastro,parent,1,6,1.0
sider_gastro,parent,5,6,1.0
sider_gastro,parent,20,6,1.0
sider_gastro,stereo,1,11,1.0
sider_gastro,stereo,5,11,1.0
sider_gastro,stereo,20,11,1.0
sider_gastro,tautomer,1,11,1.0
sider_gastro,tautomer,5,11,1.0
sider_gastro,tautomer,20,11,1.0
tox21_ahr,parent,1,1,1.0
tox21_ahr,parent,5,1,1.0
tox21_ahr,parent,20,1,1.0
tox21_ahr,stereo,1,20,1.0
tox21_ahr,stereo,5,20,1.0
tox21_ahr,stereo,20,20,1.0
tox21_ahr,tautomer,1,11,1.0
tox21_ahr,tautomer,5,11,1.0
tox21_ahr,tautomer,20,11,1.0
tox21_are,parent,1,2,1.0
tox21_are,parent,5,2,1.0
tox21_are,parent,20,2,1.0
tox21_are,stereo,1,18,1.0
tox21_are,stereo,5,18,1.0
tox21_are,stereo,20,18,1.0
tox21_are,tautomer,1,8,1.0
tox21_are,tautomer,5,8,1.0
tox21_are,tautomer,20,8,1.0
tox21_mmp,parent,1,5,1.0
tox21_mmp,parent,5,5,1.0
tox21_mmp,parent,20,5,1.0
tox21_mmp,stereo,1,19,1.0
tox21_mmp,stereo,5,19,1.0
tox21_mmp,stereo,20,19,1.0
tox21_mmp,tautomer,1,7,1.0
tox21_mmp,tautomer,5,7,1.0
tox21_mmp,tautomer,20,7,1.0
