task,relation,dose,sample_id,canonical_changed,superparent_call
bace,parent,1,bace_000049,True,True
bace,parent,1,bace_000050,False,False
bace,parent,1,bace_000066,True,True
bace,parent,1,bace_000072,True,True
bace,parent,1,bace_000133,True,True
bace,parent,1,bace_000188,True,True
bace,parent,1,bace_000192,False,False
bace,parent,1,bace_000198,False,False
bace,parent,1,bace_000203,False,False
bace,parent,1,bace_000271,True,True
bace,parent,1,bace_000277,True,True
bace,parent,1,bace_000401,True,True
bace,parent,1,bace_000446,True,True
bace,parent,1,bace_000450,True,True
bace,parent,1,bace_000453,True,True
bace,parent,1,bace_000461,True,True
bace,parent,1,bace_000464,False,False
bace,parent,1,bace_000511,True,True
bace,parent,1,bace_000526,False,False
bace,parent,1,bace_000534,False,False
bace,parent,1,bace_000547,False,False
bace,parent,1,bace_000548,False,False
bace,parent,1,bace_000599,True,True
bace,parent,1,bace_000602,False,False
bace,parent,1,bace_000605,True,True
bace,parent,1,bace_000642,True,True
bace,parent,1,bace_000646,True,True
bace,parent,1,bace_000653,True,True
bace,parent,1,bace_000735,True,True
bace,parent,1,bace_000778,True,True
bace,parent,1,bace_000789,True,True
bace,parent,1,bace_000796,False,False
bace,parent,1,bace_000820,False,False
bace,parent,1,bace_000827,True,True
bace,parent,1,bace_000833,False,False
bace,parent,1,bace_000838,True,True
bace,parent,1,bace_000886,True,True
bace,parent,1,bace_000887,True,True
bace,parent,1,bace_000896,True,True
bace,parent,1,bace_000901,True,True
bace,parent,1,bace_000907,False,False
bace,parent,1,bace_000915,True,True
bace,parent,1,bace_000941,False,False
bace,parent,1,bace_000950,True,True
bace,parent,1,bace_000973,True,True
bace,parent,1,bace_000977,True,True
bace,parent,1,bace_000988,True,True
bace,parent,1,bace_000994,True,True
bace,parent,1,bace_001029,False,False
bace,parent,1,bace_001075,True,True
bace,parent,1,bace_001085,True,True
bace,parent,1,bace_001126,True,True
bace,parent,1,bace_001289,True,True
bace,parent,1,bace_001332,False,False
bace,parent,1,bace_001334,True,True
bace,parent,1,bace_001338,True,True
bace,parent,1,bace_001339,True,True
bace,parent,1,bace_001341,False,False
bace,parent,1,bace_001348,False,False
bace,parent,1,bace_001375,False,False
bace,parent,1,bace_001382,True,True
bace,parent,1,bace_001388,False,False
bace,parent,1,bace_001432,True,True
bace,parent,1,bace_001433,False,False
bbbp,parent,1,bbbp_000019,False,False
bbbp,parent,1,bbbp_000023,False,False
bbbp,parent,1,bbbp_000035,False,False
bbbp,parent,1,bbbp_000102,False,False
bbbp,parent,1,bbbp_000108,True,True
bbbp,parent,1,bbbp_000132,True,True
bbbp,parent,1,bbbp_000215,False,False
bbbp,parent,1,bbbp_000234,False,False
bbbp,parent,1,bbbp_000254,False,False
bbbp,parent,1,bbbp_000382,False,False
bbbp,parent,1,bbbp_000416,False,False
bbbp,parent,1,bbbp_000418,False,False
bbbp,parent,1,bbbp_000428,False,False
bbbp,parent,1,bbbp_000440,False,False
bbbp,parent,1,bbbp_000445,False,False
bbbp,parent,1,bbbp_000456,False,False
bbbp,parent,1,bbbp_000540,False,False
bbbp,parent,1,bbbp_000558,False,False
bbbp,parent,1,bbbp_000565,False,False
bbbp,parent,1,bbbp_000609,False,False
bbbp,parent,1,bbbp_000631,False,False
bbbp,parent,1,bbbp_000710,False,False
bbbp,parent,1,bbbp_000727,False,False
bbbp,parent,1,bbbp_000754,False,False
bbbp,parent,1,bbbp_000757,False,False
bbbp,parent,1,bbbp_000764,False,False
bbbp,parent,1,bbbp_000765,False,False
bbbp,parent,1,bbbp_000766,False,False
bbbp,parent,1,bbbp_000769,False,False
bbbp,parent,1,bbbp_000778,False,False
bbbp,parent,1,bbbp_000785,False,False
bbbp,parent,1,bbbp_000789,False,False
bbbp,parent,1,bbbp_000790,True,True
bbbp,parent,1,bbbp_000793,False,False
bbbp,parent,1,bbbp_000834,False,False
bbbp,parent,1,bbbp_000884,False,False
bbbp,parent,1,bbbp_000939,False,False
bbbp,parent,1,bbbp_000948,False,False
bbbp,parent,1,bbbp_000949,True,True
bbbp,parent,1,bbbp_000960,False,False
bbbp,parent,1,bbbp_000980,False,False
bbbp,parent,1,bbbp_000991,False,False
bbbp,parent,1,bbbp_001011,False,False
bbbp,parent,1,bbbp_001031,False,False
bbbp,parent,1,bbbp_001099,False,False
bbbp,parent,1,bbbp_001195,False,False
bbbp,parent,1,bbbp_001210,True,True
bbbp,parent,1,bbbp_001214,False,False
bbbp,parent,1,bbbp_001215,False,False
bbbp,parent,1,bbbp_001261,False,False
bbbp,parent,1,bbbp_001304,False,False
bbbp,parent,1,bbbp_001410,False,False
bbbp,parent,1,bbbp_001510,False,False
bbbp,parent,1,bbbp_001534,False,False
bbbp,parent,1,bbbp_001614,False,False
bbbp,parent,1,bbbp_001653,False,False
bbbp,parent,1,bbbp_001666,False,False
bbbp,parent,1,bbbp_001669,False,False
bbbp,parent,1,bbbp_001746,False,False
bbbp,parent,1,bbbp_001824,False,False
bbbp,parent,1,bbbp_001940,False,False
bbbp,parent,1,bbbp_001972,False,False
bbbp,parent,1,bbbp_001976,False,False
bbbp,parent,1,bbbp_001987,False,False
hiv,parent,1,hiv_000869,True,True
hiv,parent,1,hiv_001867,False,False
hiv,parent,1,hiv_003725,False,False
hiv,parent,1,hiv_004967,False,False
hiv,parent,1,hiv_006031,False,False
hiv,parent,1,hiv_006397,False,False
hiv,parent,1,hiv_006980,False,False
hiv,parent,1,hiv_008689,False,False
hiv,parent,1,hiv_008823,False,False
hiv,parent,1,hiv_009973,False,False
hiv,parent,1,hiv_010574,False,False
hiv,parent,1,hiv_010628,False,False
hiv,parent,1,hiv_011881,False,False
hiv,parent,1,hiv_014912,False,False
hiv,parent,1,hiv_015133,False,False
hiv,parent,1,hiv_015217,False,False
hiv,parent,1,hiv_017279,False,False
hiv,parent,1,hiv_018157,False,False
hiv,parent,1,hiv_018424,False,False
hiv,parent,1,hiv_021400,False,False
hiv,parent,1,hiv_021411,False,False
hiv,parent,1,hiv_021799,True,True
hiv,parent,1,hiv_023845,False,False
hiv,parent,1,hiv_023853,False,False
hiv,parent,1,hiv_024392,True,True
hiv,parent,1,hiv_024570,False,False
hiv,parent,1,hiv_024965,False,False
hiv,parent,1,hiv_025008,True,True
hiv,parent,1,hiv_025261,False,False
hiv,parent,1,hiv_025430,False,False
hiv,parent,1,hiv_026188,False,False
hiv,parent,1,hiv_026189,False,False
hiv,parent,1,hiv_026376,False,False
hiv,parent,1,hiv_026480,False,False
hiv,parent,1,hiv_026749,False,False
hiv,parent,1,hiv_026976,False,False
hiv,parent,1,hiv_026977,False,False
hiv,parent,1,hiv_027026,False,False
hiv,parent,1,hiv_027027,False,False
hiv,parent,1,hiv_027339,True,True
hiv,parent,1,hiv_027768,True,True
hiv,parent,1,hiv_027811,False,False
hiv,parent,1,hiv_030283,False,False
hiv,parent,1,hiv_030370,False,False
hiv,parent,1,hiv_031319,True,True
hiv,parent,1,hiv_031649,False,False
hiv,parent,1,hiv_032398,True,True
hiv,parent,1,hiv_033191,False,False
hiv,parent,1,hiv_034246,False,False
hiv,parent,1,hiv_035211,False,False
hiv,parent,1,hiv_035521,False,False
hiv,parent,1,hiv_037153,False,False
hiv,parent,1,hiv_037566,False,False
hiv,parent,1,hiv_038351,False,False
hiv,parent,1,hiv_038804,False,False
hiv,parent,1,hiv_039179,False,False
hiv,parent,1,hiv_039675,False,False
hiv,parent,1,hiv_040229,False,False
hiv,parent,1,hiv_040254,False,False
hiv,parent,1,hiv_040790,False,False
hiv,parent,1,hiv_040800,False,False
hiv,parent,1,hiv_040803,False,False
hiv,parent,1,hiv_040861,False,False
hiv,parent,1,hiv_041093,False,False
clintox_tox,parent,1,clintox_tox_000012,False,False
clintox_tox,parent,1,clintox_tox_000013,False,False
clintox_tox,parent,1,clintox_tox_000075,False,False
clintox_tox,parent,1,clintox_tox_000105,True,True
clintox_tox,parent,1,clintox_tox_000111,False,False
clintox_tox,parent,1,clintox_tox_000140,False,False
clintox_tox,parent,1,clintox_tox_000142,True,True
