cell_index,artifact,task,relation,dose,n_seeds,n_affected_primary,point,boot_mean,ci_low,ci_high,positive_probability,n_affected_changed,changed_point,changed_ci_low,changed_ci_high,changed_positive_probability
0,phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,exact,20,12,82,0.05004716434556783,0.04884958058392114,-0.032223725284442596,0.1306642999162535,0.8785,,,,,
1,phase0_tf_confirm_top_len158_extra,bace,random,1,4,64,0.026295628766033065,0.025262628891931156,-0.065178620833896,0.10762435521429561,0.72775,,,,,
2,phase0_tf_aff128_probe,tox21_mmp,parent,1,12,128,0.023047286200149963,0.022730139845242036,-0.012860219836348764,0.05575354455415661,0.90075,7.0,0.02716564288881317,-0.09331750075706974,0.1506323724930631,0.668
3,phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,82,0.018245946598267008,0.01833038662771722,-0.004906363707538896,0.07071374207616597,0.80325,,,,,
4,phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,random,20,12,82,0.0157217065839866,0.015701446587727284,-0.060567498066991715,0.08139251806486172,0.6855,,,,,
5,phase0_tf_aff128_probe,tox21_are,exact,20,4,128,0.0154569559528373,0.015531612673234335,-0.030141864040418555,0.0642610753756662,0.72825,,,,,
6,phase0_tf_aff128_probe,bbbp,random,20,4,128,0.014929703313660307,0.014886636409259479,-0.012073015233583282,0.04750377062280087,0.831,,,,,
7,phase0_tf_confirm_top_len158_extra,bbbp,random,20,12,64,0.014381347832018011,0.01389611078606396,-0.013881362114505262,0.04108299094677072,0.84425,,,,,
8,phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,12,64,0.014210669222014879,0.014125357315091043,-0.04342383022990459,0.07131789119252911,0.6845,5.0,-0.07234026158793906,-0.20493451859138095,0.04781503771937617,0.12525
9,phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,stereo,20,12,82,0.012741922029529331,0.012681358896376288,-0.05780468198447955,0.08701386264531284,0.62125,82.0,0.012741922029529331,-0.05666560003893188,0.09037412949707865,0.62475
10,phase0_tf_confirm_top_len158_extra,tox21_ahr,random,1,12,64,0.012453391399954094,0.011039107198513098,-0.03592522775796855,0.05942342339222427,0.682,,,,,
11,phase0_tf_confirm_top_len158_extra,hiv,exact,20,12,64,0.011747890687174113,0.013030373106147238,-0.025014572050388064,0.051173259472516615,0.74275,,,,,
12,phase0_tf_confirm_top_len158_extra,tox21_are,exact,20,12,64,0.009836609432501068,0.01020445641794908,-0.026367981047032175,0.04652932605551997,0.7145,,,,,
13,phase0_tf_confirm_top_len158_extra,tox21_ahr,exact,20,12,64,0.00914713697159402,0.008784460187709906,-0.06525393663121952,0.07593125960817453,0.6245,,,,,
14,phase0_tf_aff128_probe,hiv,exact,20,4,128,0.008114461345000993,0.00519603126303627,-0.05524049866441701,0.06650270139748302,0.5595,,,,,
15,phase0_tf_aff128_probe,tox21_ahr,exact,20,4,128,0.007083915413259246,0.006961502024373853,-0.03505892146957032,0.061002555762715356,0.58975,,,,,
16,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,24,82,0.006092690313492482,0.005633869014296337,-0.02697538967007497,0.03661307200627607,0.6375,82.0,0.006092690313492482,-0.026404045755289696,0.03881079801992342,0.647
17,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,24,82,0.00570690821916834,0.005225458178531305,-0.023097405449386512,0.03299704124810915,0.64075,,,,,
18,phase0_tf_confirm_top_len158_extra,sider_gastro,exact,1,12,64,0.004527459774857701,0.00419482344728251,-0.01588458084562992,0.02976470040028961,0.617,,,,,
19,phase0_tf_mmp_aff128_isolated,tox21_mmp,parent,1,12,128,0.00420169698842198,0.0034234732855718845,-0.03121505572818408,0.03765445124652442,0.5735,7.0,0.05011605114293688,-0.06841466214269205,0.17198725871319723,0.81025
20,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,82,0.0037543197330174613,0.003300484801788781,-0.03575608751089335,0.043287548452134776,0.56375,,,,,
21,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,stereo,20,12,82,0.0035343630376303893,0.00439291129172099,-0.04428148388218202,0.05199740501727788,0.5755,82.0,0.0035343630376303893,-0.04549908136408376,0.054855749056313415,0.57725
22,phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,exact,20,12,128,0.0030572971157819227,0.0029224515927604162,-0.02483969164290398,0.02883791649749877,0.58525,,,,,
23,phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,82,0.0028235565687557973,0.003554910126181853,-0.06573504687691283,0.06884935690798684,0.55875,82.0,0.0028235565687557973,-0.07068620087015626,0.06741289878252792,0.5445
24,phase0_tf_confirm_top_len158_extra,clintox_tox,exact,1,4,64,0.002118952190264675,0.0022796237195373513,-0.012602476317472239,0.017697513545784103,0.6385,,,,,
25,phase0_tf_confirm_top_len158_extra,hiv,random,20,4,64,0.0013814228739406232,-0.005594521685681354,-0.0749149306050194,0.05275833786092852,0.44575,,,,,
26,phase0_tf_confirm_top_len158_extra,tox21_mmp,exact,1,12,64,0.00039000393752875096,-7.990553616048224e-07,-0.04433482822445051,0.045817480196388226,0.506,,,,,
27,phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,stereo,20,12,128,0.0001622873764525086,0.0005022385349303991,-0.02448962861845042,0.025907028520345834,0.5145,128.0,0.0001622873764525086,-0.025461017450936624,0.025759129495412685,0.48725
28,phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,82,-0.0014170493043940285,-0.0013241552532365028,-0.008240382811300547,0.005446460514054929,0.35025,,,,,
29,phase0_tf_mmp_aff128_isolated,tox21_mmp,exact,1,12,128,-0.0024709288570948446,-0.0024900259548379447,-0.0364018638729195,0.030442899274078956,0.447,,,,,
30,phase0_tf_aff128_probe,tox21_mmp,exact,1,12,128,-0.0029149147720902214,-0.0031110614401880935,-0.035385020084383524,0.028516710383004604,0.4305,,,,,
31,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,exact,20,12,82,-0.003907522877657509,-0.0043228047186229185,-0.03279337290297621,0.024777821210465706,0.3795,,,,,
32,phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,82,-0.004093824932090719,-0.00395989976661838,-0.00834028351647819,0.0004317220136301312,0.03825,82.0,-0.004093824932090719,-0.00823683294796561,0.00038586262816536066,0.03425
33,phase0_tf_confirm_top_len158_extra,hiv,parent,5,4,64,-0.005236922782716545,-0.006399080855384919,-0.06708069240408233,0.06050636562930009,0.40975,8.0,-0.16748780333561852,-0.32593354790241524,0.04372819443311879,0.057
34,phase0_tf_confirm_top_len158_extra,bbbp,stereo,5,12,64,-0.005276472486484557,-0.005344174090989493,-0.028368232666748414,0.018259891408161165,0.31875,31.0,-0.004606738079545718,-0.038279960472227974,0.027923843993371642,0.3945
35,phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,1,4,64,-0.005558054765943286,-0.005515027238451999,-0.020534423327889517,0.006972046978391944,0.212,34.0,-0.006392007590553309,-0.02723240548475961,0.007267723060081478,0.2515
36,phase0_tf_confirm_top_len158_extra,bbbp,parent,5,4,64,-0.00681212199559114,-0.006691667864394303,-0.046324822753797075,0.03238750891223095,0.37775,5.0,0.026939219395396286,-0.04276065601576771,0.11289107694374836,0.7305
37,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,exact,20,12,82,-0.008278748179299427,-0.0071753818959397545,-0.06338322406015272,0.05227913417555984,0.39875,,,,,
38,phase0_tf_confirm_top_len158_extra,sider_gastro,random,1,12,64,-0.009530124055497772,-0.00945106122068086,-0.039207667194582296,0.012545438458834506,0.24525,,,,,
39,phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,stereo,20,12,82,-0.010698572204294097,-0.010945130324651593,-0.04183673054981413,0.019135756010785113,0.24,82.0,-0.010698572204294097,-0.04234323971033145,0.020492588148545415,0.23325
40,phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,5,4,64,-0.0109824938195399,-0.01082993950487105,-0.06041084533330127,0.02892165078376484,0.344,11.0,0.05691049569377935,-0.010277778196083137,0.194701170849153,0.901
41,phase0_tf_confirm_top_len158_extra,tox21_mmp,random,5,4,64,-0.011443070278772356,-0.013449894121764798,-0.08722366272353,0.04259835167743317,0.3715,,,,,
42,phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,82,-0.01296599534783952,-0.01364480791449786,-0.08666659980119472,0.048642815526016056,0.35125,,,,,
43,phase0_tf_confirm_top_len158_extra,tox21_are,random,1,4,64,-0.015807989346385408,-0.015141009811098954,-0.09013358851070714,0.029582493294323105,0.37575,,,,,
44,phase0_tf_aff128_probe,tox21_ahr,random,1,4,128,-0.01860365311203826,-0.01825238671025958,-0.056989297061352334,0.012867250893308264,0.13425,,,,,
45,phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,82,-0.01935536608120703,-0.01732255952164346,-0.07737459905242594,0.03824199180766487,0.27775,,,,,
46,phase0_tf_confirm_top_len158_extra,tox21_are,stereo,5,4,64,-0.021362107518067646,-0.020790268022335346,-0.11984257244319965,0.07074178073057481,0.3385,18.0,-0.0375365482054205,-0.22447366575373365,0.10677132874703044,0.339
