artifact,task,relation,dose,n_seeds,point_mean,ci_low,ci_high,positive_rate
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,exact,20,12,0.05004716434556783,-0.030983715650210485,0.13747778145934775,0.88425
phase0_tf_confirm_top_len158_extra,bace,random,1,4,0.026295628766033065,-0.06283333645347089,0.11198177429036299,0.72775
phase0_tf_aff128_probe,tox21_mmp,parent,1,12,0.023047286200149963,-0.01151237658735573,0.05763930237201455,0.90025
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,0.018245946598267008,-0.004866960187445136,0.06738831322810258,0.801
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,random,20,12,0.0157217065839866,-0.06118131867641038,0.0779490925328602,0.6565
phase0_tf_aff128_probe,tox21_are,exact,20,4,0.0154569559528373,-0.031698251621673036,0.06507644180881311,0.74375
phase0_tf_aff128_probe,bbbp,random,20,4,0.014929703313660307,-0.010674503498360556,0.04736158939962107,0.83925
phase0_tf_confirm_top_len158_extra,bbbp,random,20,12,0.014381347832018011,-0.012979355390073319,0.04124462699022493,0.85125
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,1,12,0.014210669222014879,-0.04321513378561021,0.07259192192267182,0.691
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,stereo,20,12,0.012741922029529331,-0.058578467152639827,0.08631471820041406,0.61575
phase0_tf_confirm_top_len158_extra,tox21_ahr,random,1,12,0.012453391399954094,-0.03425987922865659,0.05877800052039598,0.68475
phase0_tf_confirm_top_len158_extra,hiv,exact,20,12,0.011747890687174113,-0.02602749064245575,0.05222018839279075,0.75075
phase0_tf_confirm_top_len158_extra,tox21_are,exact,20,12,0.009836609432501068,-0.02857969563792691,0.04595657169313967,0.7025
phase0_tf_confirm_top_len158_extra,tox21_ahr,exact,20,12,0.00914713697159402,-0.06741008813279685,0.0737976116773699,0.627
phase0_tf_aff128_probe,hiv,exact,20,4,0.008114461345000993,-0.055535018500912685,0.06350829413312607,0.55675
phase0_tf_aff128_probe,tox21_ahr,exact,20,4,0.007083915413259246,-0.03502595258912432,0.05831229144978187,0.56675
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,24,0.006092690313492482,-0.026482058310644967,0.03779420107801101,0.6365
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,24,0.00570690821916834,-0.023764112525741832,0.03290387774108548,0.652
phase0_tf_confirm_top_len158_extra,sider_gastro,exact,1,12,0.004527459774857701,-0.015604618431961419,0.029397637781402544,0.644
phase0_tf_mmp_aff128_isolated,tox21_mmp,parent,1,12,0.00420169698842198,-0.03041309420294321,0.03721456573285627,0.57375
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,0.0037543197330174613,-0.034186040676372056,0.043272644551581016,0.56475
